model,graph_id,node,family,regime,risk_score,time,event,risk_group
hybrid,31,17,ba,local,0.0231783147844763,2,1,low
hybrid,31,18,ba,local,0.034926379498909234,2,1,medium
hybrid,31,19,ba,local,0.021616338973585336,2,1,low
hybrid,34,1,ba,long_range,0.4141363273125525,2,1,high
hybrid,34,2,ba,long_range,0.13879764744599096,2,1,medium
hybrid,34,3,ba,long_range,0.5754310907601209,1,1,high
hybrid,34,4,ba,long_range,0.2564699321529231,2,1,high
hybrid,34,6,ba,long_range,0.04378874712603652,2,1,medium
hybrid,34,7,ba,long_range,0.16446928215777956,2,0,medium
hybrid,34,8,ba,long_range,0.3634467019036292,2,1,high
hybrid,34,9,ba,long_range,0.2119053953557978,2,1,high
hybrid,34,10,ba,long_range,0.9542901990297727,1,1,high
hybrid,34,11,ba,long_range,0.5127224397995793,1,1,high
hybrid,34,12,ba,long_range,0.13168298265502826,2,1,medium
hybrid,34,13,ba,long_range,0.37972103467689083,1,1,high
hybrid,34,14,ba,long_range,0.02987243125281452,2,1,medium
hybrid,34,15,ba,long_range,0.34996944124585094,2,1,high
hybrid,34,16,ba,long_range,0.9579856538949599,1,1,high
hybrid,34,17,ba,long_range,0.05162459851714972,2,0,medium
hybrid,34,18,ba,long_range,0.28239017022253593,2,0,high
hybrid,34,19,ba,long_range,0.17219837163851254,2,0,medium
hybrid,41,0,ws,long_range,0.016090360733857216,2,0,low
hybrid,41,1,ws,long_range,0.01422759621568159,2,0,low
hybrid,41,2,ws,long_range,0.015588954897175726,2,1,low
hybrid,41,3,ws,long_range,0.015431379644125364,2,0,low
hybrid,41,4,ws,long_range,0.025260179085868997,2,0,medium
hybrid,41,5,ws,long_range,0.029369536259093842,2,1,medium
hybrid,41,6,ws,long_range,0.30517619578172916,2,1,high
hybrid,41,7,ws,long_range,0.2754426391721444,1,1,high
hybrid,41,8,ws,long_range,0.530787194147018,1,1,high
hybrid,41,10,ws,long_range,0.4112922675324704,2,1,high
hybrid,41,11,ws,long_range,0.12148105967952579,2,1,medium
hybrid,41,12,ws,long_range,0.01681059357988239,2,0,low
hybrid,41,13,ws,long_range,0.015739412522904183,2,0,low
hybrid,41,14,ws,long_range,0.014908125543559792,2,0,low
hybrid,41,15,ws,long_range,0.013699391311568585,2,0,low
hybrid,41,16,ws,long_range,0.014462110962025746,2,0,low
hybrid,41,17,ws,long_range,0.017986708796064715,2,0,low
hybrid,41,18,ws,long_range,0.011232435310307216,2,0,low
hybrid,41,19,ws,long_range,0.015278507274076597,2,0,low
hybrid,43,0,ba,local,0.02714005298659417,2,0,medium
hybrid,43,1,ba,local,0.02275511198578331,2,0,low
hybrid,43,2,ba,local,0.016424095739759365,2,0,low
hybrid,43,3,ba,local,0.06993176127353623,1,1,medium
hybrid,43,4,ba,local,0.02217221213724754,2,0,low
hybrid,43,5,ba,local,0.07863025156690934,2,0,medium
hybrid,43,6,ba,local,0.02930870893884153,2,0,medium
hybrid,43,7,ba,local,0.12506330280769667,2,1,medium
hybrid,43,8,ba,local,0.016628986491353182,2,0,low
hybrid,43,10,ba,local,0.018427863180596964,2,0,low
hybrid,43,11,ba,local,0.020835491507591387,2,1,low
hybrid,43,12,ba,local,0.01570418232013912,2,1,low
hybrid,43,13,ba,local,0.01880449111349481,2,0,low
hybrid,43,14,ba,local,0.0164554879236249,2,0,low
hybrid,43,15,ba,local,0.01622945414821842,2,0,low
hybrid,43,16,ba,local,0.014602430729274876,2,0,low
hybrid,43,17,ba,local,0.18105135423951713,2,0,high
hybrid,43,18,ba,local,0.016923012781363652,2,1,low
hybrid,43,19,ba,local,0.161122422198796,2,0,medium
