model,graph_id,node,family,regime,risk_score,time,event,risk_group
gnn,11,2,ws,long_range,0.44378460748303244,1,1,high
gnn,11,3,ws,long_range,0.440681540346692,1,1,high
gnn,11,4,ws,long_range,0.6583075623826199,1,1,high
gnn,11,6,ws,long_range,0.97337920687691,1,1,high
gnn,11,8,ws,long_range,0.8064461307266454,1,1,high
gnn,11,9,ws,long_range,0.5721154375702399,1,1,high
gnn,11,10,ws,long_range,0.6042706801763329,1,1,high
gnn,11,11,ws,long_range,0.3588463609990725,1,1,high
gnn,11,12,ws,long_range,0.03889609356881195,2,1,medium
gnn,11,13,ws,long_range,0.02861521801495184,2,1,medium
gnn,11,14,ws,long_range,0.026956736278223755,2,1,medium
gnn,11,15,ws,long_range,0.01960717972044109,2,1,low
gnn,11,16,ws,long_range,0.02714808380844862,2,1,medium
gnn,11,17,ws,long_range,0.03886697898514922,2,1,medium
gnn,11,18,ws,long_range,0.23845574507519732,1,1,medium
gnn,11,19,ws,long_range,0.04600219380702925,2,1,medium
gnn,21,0,er,long_range,0.22705642713208932,2,1,medium
gnn,21,1,er,long_range,0.5836756761509577,1,1,high
gnn,21,2,er,long_range,0.1762980157709644,2,1,medium
gnn,21,3,er,long_range,0.78421231727667,2,1,high
gnn,21,6,er,long_range,0.580748679736476,1,1,high
gnn,21,7,er,long_range,0.03210918138750447,2,1,medium
gnn,21,8,er,long_range,0.716502758338036,1,1,high
gnn,21,9,er,long_range,0.7069448158459096,1,1,high
gnn,21,10,er,long_range,0.05357157169198885,2,1,medium
gnn,21,11,er,long_range,0.05054664308726688,2,1,medium
gnn,21,12,er,long_range,0.23032640694650763,2,1,medium
gnn,21,13,er,long_range,0.10742597095009175,1,1,medium
gnn,21,14,er,long_range,0.905653560244903,1,1,high
gnn,21,15,er,long_range,0.2280853522819898,2,1,medium
gnn,21,16,er,long_range,0.026074906256087504,2,1,low
gnn,21,17,er,long_range,0.04853962892698371,2,1,medium
gnn,21,18,er,long_range,0.051191902308399324,2,1,medium
gnn,21,19,er,long_range,0.29424587451944445,1,1,high
gnn,25,1,ba,local,0.06710854126553809,2,0,medium
gnn,25,2,ba,local,0.9425613949725933,2,1,high
gnn,25,3,ba,local,0.6318228685428544,2,0,high
gnn,25,4,ba,local,0.16607382404392737,2,0,medium
gnn,25,5,ba,local,0.1591200639647462,2,0,medium
gnn,25,7,ba,local,0.18921780744779756,2,0,medium
gnn,25,8,ba,local,0.12721831578340745,2,0,medium
gnn,25,9,ba,local,0.09199947313517229,2,0,medium
gnn,25,10,ba,local,0.15420304886699052,2,0,medium
gnn,25,11,ba,local,0.14498664280890564,2,0,medium
gnn,25,12,ba,local,0.35932907254312524,2,0,high
gnn,25,13,ba,local,0.6075332198053163,2,0,high
gnn,25,14,ba,local,0.03686506673504871,2,0,medium
gnn,25,15,ba,local,0.31349954264928104,2,0,high
gnn,25,16,ba,local,0.9425613949725933,1,1,high
gnn,25,17,ba,local,0.045744139218027245,2,0,medium
gnn,25,18,ba,local,0.03247464196616351,2,0,medium
gnn,25,19,ba,local,0.2847717376424884,2,0,high
gnn,31,0,ba,local,0.06404872622960818,1,1,medium
gnn,31,1,ba,local,0.7914034933622737,1,1,high
gnn,31,2,ba,local,0.02057330460088946,2,0,low
gnn,31,4,ba,local,0.23501091283090655,1,1,medium
gnn,31,5,ba,local,0.2566757212909993,1,1,high
gnn,31,6,ba,local,0.023351845898479738,2,1,low
gnn,31,7,ba,local,0.03717076439905576,2,1,medium
gnn,31,8,ba,local,0.02232474758817559,2,0,low
gnn,31,9,ba,local,0.018612199094602586,2,0,low
gnn,31,10,ba,local,0.8391817770088427,1,1,high
gnn,31,11,ba,local,0.020783016918871206,2,1,low
gnn,31,12,ba,local,0.03497263679506779,2,1,medium
gnn,31,13,ba,local,0.7180394717713766,1,1,high
gnn,31,14,ba,local,0.026866343739669625,2,0,low
gnn,31,16,ba,local,0.020071220783097577,2,1,low
gnn,31,17,ba,local,0.02964204083811161,2,1,medium
gnn,31,18,ba,local,0.02776945792858929,2,1,medium
gnn,31,19,ba,local,0.025243054266103234,2,1,low
gnn,34,1,ba,long_range,0.4990419251423395,2,1,high
gnn,34,2,ba,long_range,0.23156487253198585,2,1,medium
gnn,34,3,ba,long_range,0.5406590818181651,1,1,high
gnn,34,4,ba,long_range,0.18602882244017585,2,1,medium
gnn,34,6,ba,long_range,0.05735475880425899,2,1,medium
gnn,34,7,ba,long_range,0.18238300952008185,2,0,medium
gnn,34,8,ba,long_range,0.4565015207553815,2,1,high
gnn,34,9,ba,long_range,0.12941610850994587,2,1,medium
gnn,34,10,ba,long_range,0.9465539248919457,1,1,high
gnn,34,11,ba,long_range,0.7634939372532286,1,1,high
gnn,34,12,ba,long_range,0.09419961024991341,2,1,medium
gnn,34,13,ba,long_range,0.31040625829463997,1,1,high
gnn,34,14,ba,long_range,0.06658228444198998,2,1,medium
gnn,34,15,ba,long_range,0.4131532922519025,2,1,high
gnn,34,16,ba,long_range,0.9482540974451441,1,1,high
gnn,34,17,ba,long_range,0.03134273376009753,2,0,medium
gnn,34,18,ba,long_range,0.33866646861198707,2,0,high
gnn,34,19,ba,long_range,0.2256048605305798,2,0,medium
gnn,41,0,ws,long_range,0.01190114914353753,2,0,low
gnn,41,1,ws,long_range,0.012974919116590931,2,0,low
gnn,41,2,ws,long_range,0.017059305227261123,2,1,low
gnn,41,3,ws,long_range,0.012254887013565315,2,0,low
gnn,41,4,ws,long_range,0.020302163433553386,2,0,low
gnn,41,5,ws,long_range,0.025664969852435146,2,1,low
gnn,41,6,ws,long_range,0.5758870243862196,2,1,high
gnn,41,7,ws,long_range,0.5892767336366945,1,1,high
gnn,41,8,ws,long_range,0.8711510069530894,1,1,high
gnn,41,10,ws,long_range,0.6264931640988269,2,1,high
gnn,41,11,ws,long_range,0.14216797092209058,2,1,medium
gnn,41,12,ws,long_range,0.0160852884337562,2,0,low
gnn,41,13,ws,long_range,0.012666418073324422,2,0,low
gnn,41,14,ws,long_range,0.011758209176045796,2,0,low
gnn,41,15,ws,long_range,0.014741979269393786,2,0,low
gnn,41,16,ws,long_range,0.011185872669646922,2,0,low
gnn,41,17,ws,long_range,0.017819077405116776,2,0,low
gnn,41,18,ws,long_range,0.011987143704492309,2,0,low
gnn,41,19,ws,long_range,0.014850511285550497,2,0,low
gnn,43,0,ba,local,0.021320061124080154,2,0,low
gnn,43,1,ba,local,0.016697107160316502,2,0,low
gnn,43,2,ba,local,0.01878175094905964,2,0,low
gnn,43,3,ba,local,0.13073289317957848,1,1,medium
gnn,43,4,ba,local,0.021976231415418972,2,0,low
gnn,43,5,ba,local,0.12295252807771306,2,0,medium
gnn,43,6,ba,local,0.02707070267845199,2,0,medium
gnn,43,7,ba,local,0.31858650124243443,2,1,high
gnn,43,8,ba,local,0.024115129252442347,2,0,low
gnn,43,10,ba,local,0.021480460315670066,2,0,low
gnn,43,11,ba,local,0.020545476732838044,2,1,low
gnn,43,12,ba,local,0.021568924692696372,2,1,low
gnn,43,13,ba,local,0.016363192001539874,2,0,low
gnn,43,14,ba,local,0.015412981008946045,2,0,low
gnn,43,15,ba,local,0.015182268937120085,2,0,low
gnn,43,16,ba,local,0.01522313066415869,2,0,low
gnn,43,17,ba,local,0.44570331839199795,2,0,high
gnn,43,18,ba,local,0.02549760987438641,2,1,low
gnn,43,19,ba,local,0.5440441337710835,2,0,high
